Session #,Trial,DateTime,Video #,TrialType,Player1,Player2,Choice1,Choice2,Choice,Condition,OtherReward,DictReward,OneChoice,OtherTrial,FixationPointFrame,FixationPointTime,FP:TO,TargetsOnFrame,TargetsOnTime,TO:GO,GO:Choice,ChoiceTimeFrame,ChoiceTime,Choice:RRS,Choice:DRS,RecipientRewardStartFrame,RecipientRewardStartTime,RRS:RRE,RecipientRewardEndFrame,RecipientRewardEndTime,RRE:DRS,DictatorRewardStartFrame,DictatorRewardStartTime,DRS:DRE,DictatorRewardEndFrame,DictatorRewardEndTime,RewardEndPrev,ITI,EndTrialFrame,EndTrialTime,Choice:ET,AvertedBeforeChoiceLong,AvertedBeforeChoiceShort,AvertedAfterChoiceFull,AvertedAfterChoiceBR,AvertedAfterChoiceAR,RewardAnticipationOther,RewardAnticipationSelf,RewardAnticipationBeforeLong,RewardAnticipationBeforeShort,RewardAnticipationAfterFull,RewardAnticipationAfterBR,RewardAnticipationDuringReward,RewardAnticipationAfterAR,StereoAvertBeforeLong,StereoAvertBeforeShort,StereoAvertAfterFull,StereoAvertAfterBR,StereoAvertAfterAR
1,2,231002_1216,1,Dual,Mufasa,Empty,0,2,,4,,,,False,1615.0,53.8239734,0.5329967,1631.0,54.3569701,0.7339549,,,,,,,,,,,,,,,,,1541.0,2.4591074,2283.0,76.0921942,,,,,,,,,,,,,,,,,,,
1,3,231002_1216,1,Dual,Mufasa,Empty,0,4,,6,,,,False,2321.0,77.3594675,0.5327799,2337.0,77.8922474,0.7343132,,,,,,,,,,,,,,,,,2283.0,1.2672733,2989.0,99.6279495,,,,,,,,,,,,,,,,,,,
1,4,231002_1216,1,Dual,Mufasa,Empty,2,0,,3,,,,False,3027.0,100.8963697,0.5314083,3043.0,101.427778,0.5337663,,,,,,,,,,,,,,,,,2989.0,1.2684202,3689.0,122.9633459,,,,,,,,,,,,,,,,,,,
1,5,231002_1216,2,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,2334.0,247.4423153,0.5349774,2350.0,247.9772927,0.7338703,2.324273,2442.0,251.035436,1.2468467,3.299362,2479.0,252.2822827,1.4333649,2522.0,253.7156476,0.6191504,2541.0,254.334798,1.4214995,2583.0,255.7562975,3689.0,124.4789694,2617.0,256.8730392,5.8376032,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,
1,6,231002_1216,2,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,2656.0,258.1683089,0.5339628,2672.0,258.7022717,0.5338902,0.5885659,2706.0,259.8247278,1.2492997,3.3007939,2743.0,261.0740275,1.427312,2786.0,262.5013395,0.6241822,2805.0,263.1255217,1.4219417,2847.0,264.5474634,2583.0,2.4120114,2881.0,265.6633086,5.8385808,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1,7,231002_1216,2,Dual,Mufasa,Empty,2,0,Low,3,,0.0,,False,2921.0,266.991442,0.5345655,2937.0,267.5260075,0.7340354,2.3910167,3030.0,270.6510596,,1.046685,,,,,,,3062.0,271.6977446,2.121343,3125.0,273.8190876,2847.0,2.4439786,3159.0,274.9387425,4.2876829,,,,,,,,0.0,0.0,0.0,,,,,,,,
1,8,231002_1216,2,Dual,Mufasa,Empty,2,0,,3,,,,False,3198.0,276.2487808,0.5344755,3214.0,276.7832563,0.6342238,,,,,,,,,,,,,,,,,3125.0,2.4296932,3863.0,298.4186906,,,,,,,,,,,,,,,,,,,
1,9,231002_1216,2,Dual,Mufasa,Empty,2,0,,3,,,,False,3900.0,299.6506378,0.5345359,3916.0,300.1851737,0.7341632,,,,,,,,,,,,,,,,,3863.0,1.2319472,4574.0,322.1207323,,,,,,,,,,,,,,,,,,,
1,10,231002_1216,2,Dual,Mufasa,Empty,2,0,,3,,,,False,4611.0,323.352456,0.5349449,4627.0,323.8874009,0.633902,,,,,,,,,,,,,,,,,4574.0,1.2317237,5276.0,345.5228125,,,,,,,,,,,,,,,,,,,
1,11,231002_1216,2,Dual,Mufasa,Empty,2,0,,3,,,,False,5313.0,346.754612,0.5346119,5329.0,347.2892239,0.5339519,,,,,,,,,,,,,,,,,5276.0,1.2317995,5976.0,368.8247168,,,,,,,,,,,,,,,,,,,
